first_name,last_name,email,product_id,qty,amount,description,address,city,state,country
David,Collins,dquinn@example.net,6,3,3.5,Add seem popular something course.,414 Kristin Shore,South Christine,Oklahoma,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Andrew,Potter,martinphillip@example.org,2,6,9.26,Particular on it five run.,7915 Brown Spring Apt. 432,Rodrigueztown,Illinois,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Curtis,Jones,smithalexander@example.org,3,7,7.37,Per always section material western customer upon.,868 Whitney Fork,Smithstad,Vermont,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Elizabeth,Harris,lisadillon@example.net,4,9,9.54,Stuff contain sell eight why pay star.,752 Ray Turnpike,Port Elizabeth,Wyoming,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Matthew,Davis,nashrhonda@example.net,5,6,4.59,Third seat sea north executive.,18627 Stevenson Road Suite 963,Wilsonfort,Missouri,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Jessica,Benson,birdwendy@example.com,3,9,9.3,Cut alone recognize per open season pay.,715 Dillon Villages,New Jeremiah,Kentucky,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Jessica,Wiggins,hperez@example.net,2,2,5.7,Arrive scientist reach set ready become.,66452 Deanna Path,Stevenville,Idaho,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Sheila,Hughes,emily30@example.com,7,7,6.03,Democratic away person fill.,316 Davis Prairie,Lake Kathleen,Massachusetts,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Grace,Smith,qjohnson@example.org,4,5,1.61,Control sound daughter owner.,7162 Michael Heights,Lake Roger,Utah,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Ryan,Mitchell,jordanrichard@example.org,8,3,7.27,Some former agree summer cause cold mind lead.,3808 Corey Summit,Simmonsbury,Montana,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Douglas,Harris,brianreeves@example.org,4,5,1.93,Report myself week star.,98232 Simmons Mountains,New Shane,Michigan,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Todd,Mathews,meyermary@example.net,6,3,9.7,Agent admit tax much believe expert many.,86170 Andrew Knolls,South Jeremymouth,Hawaii,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Gavin,Davis,pagecharles@example.org,2,9,3.62,Interest matter amount glass exactly.,34511 Daniel Mountain,North Debbiechester,Arkansas,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Amber,Taylor,eric84@example.com,2,1,5.08,Agent edge item economic lose.,6380 Michael Streets Suite 814,Port Ericfurt,Idaho,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Zachary,Burke,alexandra48@example.net,4,7,4.45,Television poor chance light religious.,33527 Nicole Coves,Philipfort,New Jersey,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Gregory,Fuller,ruthmartin@example.org,1,5,8.9,Response hope to example later nature trade choose.,1837 Oconnell Light,Lake Brianmouth,Pennsylvania,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Amanda,Bird,charlesknight@example.com,10,1,8.89,Event always cover foreign church value fire cold.,045 Tammy Street,Ashleyside,Oregon,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Jim,Parker,gregory38@example.com,3,9,9.47,Young report available state lead.,05798 Cole Gateway Suite 196,Walkerburgh,Washington,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Tammy,Soto,gschwartz@example.net,7,7,4.27,Support town hot talk seek world make.,797 Williams Vista Apt. 347,North Tinashire,Arkansas,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Susan,Newman,elizabeth60@example.net,2,1,6.03,Least case consumer police him.,1633 George Fords Apt. 964,Port Jeffreyhaven,North Dakota,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Amy,Anderson,dianemartinez@example.com,4,5,0.65,Simple throw more word himself.,81505 Smith Ford Suite 139,Stephanieside,Washington,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Stephanie,Taylor,zvillanueva@example.org,2,5,2.62,Decade professor article painting table eight into.,4304 Christopher Crossing Suite 887,Rodriguezfort,Iowa,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Derek,Higgins,karagillespie@example.net,3,6,8.87,Ability gas cultural say local win.,88334 Wilson Glens Suite 159,North Aaron,Wisconsin,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Kathleen,Valenzuela,gilesdiane@example.org,6,8,5.59,Face across within stop section their send then.,6116 Elizabeth Spur,East Christineton,Arizona,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Nicole,Holmes,davissharon@example.org,5,2,1.4,Increase likely method herself yeah.,8511 Howard Corners Suite 126,Ronnieville,Oregon,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Cristina,Lopez,uanthony@example.org,4,9,5.53,Difficult thought then budget than toward grow.,71922 Dana Stream Suite 692,Lisaborough,Arizona,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Carlos,West,meadowsrobert@example.com,6,9,3.19,Their everything board relate for public range leg.,03608 Francis Mill,New Christina,Colorado,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Marcus,Bennett,greenamanda@example.org,2,5,9.55,Note eye TV.,20612 Matthew Well Apt. 497,West Jacqueline,Indiana,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Roger,Moore,emurphy@example.com,7,1,4.63,Painting bring risk day administration attention room pretty.,06744 Fisher Brook,Yatestown,Idaho,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Paige,Newman,michelle43@example.com,4,5,8.8,Less ball class quality behind.,368 Lambert Isle,Lisafurt,Rhode Island,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Keith,Berry,nbradley@example.net,3,9,6.87,Simple yourself require interest laugh.,303 Eduardo Run Suite 073,Jennifermouth,Kentucky,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
Brian,Johnston,courtney64@example.net,3,3,6.9,Strong answer beyond.,509 Smith Street Apt. 250,Bullockport,New Jersey,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
John,Green,norman13@example.org,8,1,2.95,Beautiful require know.,9791 Kimberly Junctions Apt. 487,Cartermouth,Rhode Island,<bound method Provider.country of <faker.providers.address.en_US.Provider object at 0x000002BFFC7F61D0>>
